UniqueID2	UniqueID	Batch123	CageID	ALL	Batch2	Batch1	Batch3	RQ_48hours	RQ_24hours_1	RQ_24hours_2	RQ_5h_Day1	RQ_12h_Night1	RQ_12h_Day2	RQ_12h_Night2	RQ_7h_Day3	kcal_hr_48hours	kcal_hr_24hours_1	kcal_hr_24hours_2	kcal_hr_5h_Day1	kcal_hr_12h_Night1	kcal_hr_12h_Day2	kcal_hr_12h_Night2	kcal_hr_7h_Day3	food_48hours	food_24hours_1	food_24hours_2	food_5h_Day1	food_12h_Night1	food_12h_Day2	food_12h_Night2	food_7h_Day3	water_48hours	water_24hours_1	water_24hours_2	water_5h_Day1	water_12h_Night1	water_12h_Day2	water_12h_Night2	water_7h_Day3	xbreak_48hours	xbreak_24hours_1	xbreak_24hours_2	xbreak_5h_Day1	xbreak_12h_Night1	xbreak_12h_Day2	xbreak_12h_Night2	xbreak_7h_Day3	ybreak_48hours	ybreak_24hours_1	ybreak_24hours_2	ybreak_5h_Day1	ybreak_12h_Night1	ybreak_12h_Day2	ybreak_12h_Night2	ybreak_7h_Day3	zbreak_48hours	zbreak_24hours_1	zbreak_24hours_2	zbreak_5h_Day1	zbreak_12h_Night1	zbreak_12h_Day2	zbreak_12h_Night2	zbreak_7h_Day3	ped_m_48hours	ped_m_24hours_1	ped_m_24hours_2	ped_m_5h_Day1	ped_m_12h_Night1	ped_m_12h_Day2	ped_m_12h_Night2	ped_m_7h_Day3	all_m_48hours	all_m_24hours_1	all_m_24hours_2	all_m_5h_Day1	all_m_12h_Night1	all_m_12h_Day2	all_m_12h_Night2	all_m_7h_Day3	UniqueID2	BW_3w	fat_3w	lean_3w	F.water_3w	T.water_3w	BW_4w	fat_4w	lean_4w	F.water_4w	T.water_4w	BW_5w	BW_6w	fat_6w	lean_6w	F.water_6w	T.water_6w	BW_7w	BW_8w	fat_8w	lean_8w	F.water_8w	T.water_8w	BW_8w_final	TBL	TL	EL	HFL	BL	BMI	Small_Int_mm	Small_Int_g	Cecum_mm	Cecum_g	Large_int_mm	Large_int_g	Fat_pad
B6-26	Batch2_10	Batch2_GFBR	10	GFBR	GFBR	NA	NA	0.8134551	0.79052695	0.8742627	0.7907454	0.81508555	0.72516725	0.90784705	0.79047595	0.4977917	0.5303634	0.4565409	0.5497183	0.58804015	0.32935355	0.57397655	0.33915755	9.235491	3.486813	5.748678	0.8237411	2.5340789	0.764132	4.694741	0.418798	11.58438	4.585552	6.998828	0.2596121	3.9044099	0.430918	6.74681	0.24263	48116	26170	21946	6546.8	16617.27	4579.93	17100.87	3271.13	75226	38646	36580	8840.866	23114.134	10291	24024	8956	38090	20562	17528	4974	14564.4	3016.6	14365	1170	345.115	199.2612	145.8538	48.94881	129.45559	31.2839	110.4241	25.0026	489.1321	275.5841	213.548	66.36349	177.72631	48.5694	159.936	36.5369	B6-26	8.38	NA	NA	NA	NA	15.03	1.34	13.23	0.64	12.67	21.07	23.54	0.99	21.85	0.59	19.79	25.88	25.79	0.79	24.3	0.81	21.84	26.61	187	86	14	19.9	101	0.00261	318	1.5	28	0.75	63	0.54	0.16
B6-27	Batch2_5	Batch2_GFNY	5	GFNY	GFNY	NA	NA	0.8516734	0.85198485	0.8496882	0.7673564	0.886522	0.79207255	0.89728745	0.79017585	0.4529861	0.48205915	0.4152946	0.4872234	0.5480941	0.3381345	0.53322625	0.3296026	8.080646	4.053747	4.026899	0.5637414	3.1486386	0.861634	3.122506	0.384126	7.84865	3.897084	3.951566	0.06192023	3.61852477	0.524443	3.057716	0.586046	36390	21034	15356	5414	12784.8	4376.27	11327.93	2487	54892	30024	24868	7374	17945.6	9429.2	15325.2	4818	44850	30430	14420	8956.134	20479.866	2033	12261	1120	489.7732	300.9241	188.8491	60.36599	210.88681	44.3736	150.8129	23.3339	577.9077	350.0673	227.8404	74.25536	237.04434	60.7191	174.2164	31.6725	B6-27	7.81	NA	NA	NA	NA	17.21	1.49	15.33	0	14.03	20	22.92	1.14	20.79	0.08	18.23	24	25.11	1.82	21.39	0	19.55	24.14	193	91	13.5	19	102	0.00232	312	1.23	33	0.69	77	0.49	0.18
B6-28	Batch2_6	Batch2_GFNY	6	GFNY	GFNY	NA	NA	0.7968733	0.7763068	0.8203284	0.7594554	0.809396	0.75991385	0.86877955	0.7626685	0.4680648	0.51694995	0.4198363	0.5874681	0.56498305	0.4000747	0.5170511	0.3711146	6.345297	3.384932	2.960365	0.623412	2.242292	0.681927	2.390999	0.406667	10.00577	5.336178	4.669592	0.5273151	3.7636109	1.218087	3.311382	1.185375	42551	25699	16852	6719.733	13585.667	7494.6	11230	3521	71548	44593	26955	10816.6	24275.07	13052.33	17171.4	6232.6	27338	15703	11635	4014.4	9687.6	3035	7926.4	2674.6	460.3001	274.311	185.9891	76.3037	142.6139	83.5419	120.9579	36.8827	581.3607	348.5359	232.8248	94.09134	183.70936	104.5457	151.6055	47.4088	B6-28	8.36	NA	NA	NA	NA	18.22	1.79	16.11	0.24	14.73	22.07	24.46	1.59	22.18	0.41	18.7	26.34	26.72	1.8	23.7	0.35	21.27	26.56	194	92	14	20	102	0.00255	342	1.38	33	0.67	70	0.48	0.25
B6-29	Batch2_7	Batch2_GFNY	7	GFNY	GFNY	NA	NA	0.8205126	0.81790435	0.8243825	0.7978225	0.8558446	0.7518453	0.85979795	0.723073	0.6109452	0.6242004	0.5883841	0.6571524	0.646818	0.44783575	0.66770755	0.4310503	8.954082	3.626	5.328082	0.634724	2.880518	1.118439	4.17419	0.146211	12.35636	6.472947	5.883413	1.394931	4.691584	1.067108	4.841937	0.3608	52990	31642	21348	8636	17994.07	6901.06	16038.07	3420.8	82332	44771.2	37560.8	11808.13	24383.67	13412.4	24990.6	7737.2	43544	21359	22185	7151	11916	5154.33	17175.67	2147	497.8311	287.145	210.6861	103.3205	143.3534	55.4633	159.807	35.8869	631.6508	362.5761	269.0747	122.7564	184.8834	77.5063	200.3509	46.1538	B6-29	8.13	NA	NA	NA	NA	19.1	1.56	17.37	0.32	15.78	23.39	26.2	0.75	24.79	0.42	22.25	27.81	28.21	0.92	26.66	0.23	23.59	28.04	191	90	13	18	101	0.00275	286	1.62	33	0.68	72	0.58	0.19
B6-30	Batch2_8	Batch2_GFNY	8	GFNY	GFNY	NA	NA	0.7989187	0.78053785	0.8294323	0.7401544	0.80854295	0.74611065	0.8759043	0.7260914	0.558691	0.601199	0.5358126	0.6224315	0.6422333	0.4313377	0.61026375	0.41761225	8.918701	4.844096	4.074605	1.230113	3.611009	0.383797	3.487285	0.206497	10.88729	5.421574	5.465716	0.3681289	4.8336081	0.688966	4.715457	0.28113	45690	24388	21302	7682.4	14307.6	3818	13257	6625	64541	34918	29623	9879.667	22258.333	5218	21351.67	5833.33	45174	23323	21851	5468.733	15647.537	5248.73	16774.8	2034.2	434.7314	244.9316	189.7998	70.21372	150.26428	38.198	139.7349	36.3205	545.3467	304.2059	241.1408	87.11381	188.18279	46.6955	175.4941	47.8605	B6-30	7.54	NA	NA	NA	NA	18.74	1.48	16.88	0.01	15.39	23.07	26.31	1.15	25.01	0.24	22.29	27.98	27.49	0.87	26.35	0.17	22.98	27.34	194	92	13.6	20.5	102	0.00263	321	1.4	28	0.57	67	0.41	0.15
B6-31	Batch2_11	Batch2_GFNY	11	GFNY	GFNY	NA	NA	0.8496535	0.866745	0.8353981	0.8524438	0.8837631	0.8399972	0.88065415	0.7230831	0.4724592	0.5081591	0.4306747	0.519076	0.56495365	0.3559625	0.52238375	0.32941545	8.431824	5.321517	3.110307	1.357207	3.065655	1.087393	2.865678	0.055891	8.313792	4.880618	3.433174	0.9510778	3.7081572	0.304616	3.015844	0.334097	54873	30098	24775	6958	18428	6386	18311.07	4789.93	65862	37394.6	28467.4	8918	22943	7989	21098	4914	38335	21887	16448	6452	14126	3761	12453	1543	484.3382	296.021	188.3172	89.52427	182.30843	36.2715	148.2418	27.9922	594.125	356.6231	237.5019	102.3753	218.8438	51.8459	184.3408	36.7192	B6-31	8.24	NA	NA	NA	NA	15.02	1.41	13.4	0.08	11.92	20.53	23.15	1.41	21.28	0.06	18.98	24.53	24.39	0.89	23.03	4.81	17.23	24.69	190	89	13	19.9	101	0.00242	299	1.44	24	0.58	74	0.44	0.22
B6-32	Batch2_12	Batch2_GFNY	12	GFNY	GFNY	NA	NA	0.8306573	0.81565025	0.8442861	0.8009754	0.8555446	0.7895024	0.8969158	0.78063015	0.4754881	0.5187354	0.4466173	0.5607975	0.56580515	0.35928765	0.55337695	0.35138925	9.313478	4.604017	4.709461	0.9253971	3.4759999	0.648593	3.510144	0.753344	12.75311	6.386253	6.366857	0.8117997	4.8675063	1.099151	5.335933	0.63872	44403	26399	18004	7137	14722.6	5927.4	13059	3557	64800	33424	31376	9555	19202.67	8414.33	22062.46	5565.54	29130	16237	12893	5964	8731.2	2980.8	9996	1458	447.0772	273.431	173.6462	91.77808	147.07452	52.5349	130.4666	25.2231	556.1452	331.3069	224.8383	107.2318	179.6777	67.7201	168.0453	33.4703	B6-32	7.42	NA	NA	NA	NA	16.38	1.43	14.76	0	13.46	21.04	23.92	1.45	22.36	0.21	19.63	25.04	25.42	1.45	23.36	0.12	20.48	26.3	185	86	13.5	20	99	0.00268	318	1.54	28	0.63	79	0.64	0.25
B6-33	Batch2_13	Batch2_GFNY	13	GFNY	GFNY	NA	NA	0.8386444	0.8332713	0.8418164	0.8387458	0.87063365	0.7910371	0.8798212	0.7864249	0.4881439	0.50544795	0.4353295	0.5190141	0.5573656	0.3583898	0.5545818	0.35474725	9.156881	4.135956	5.020925	0.8679662	2.6036558	1.107494	2.60402	1.973745	12.13801	6.253345	5.884665	1.218902	4.073535	1.554801	4.314242	0.97653	55068	32206	22862	8690	19720.53	5654.6	18292.87	2710	82180.6	45592	36588.6	11060	26905.8	13205.53	24295.6	6713.67	36436	19812	16624	5200	13139.6	3022	13764.4	1310	624.3887	386.5605	237.8282	97.71586	252.06074	57.6946	189.2472	27.6703	756.8365	458.7159	298.1206	116.1699	293.7153	77.6502	232.6404	36.6607	B6-33	11.3	NA	NA	NA	NA	15.16	1.38	13.52	0.03	12.45	20.52	23.28	1.21	21.62	0.36	19.15	25.04	25.44	1.33	18.87	0.38	20.12	24.55	188	89	13	19.8	99	0.0025	297	1.42	27	0.65	70	0.44	0.21
B6-34	Batch2_14	Batch2_GFNY	14	GFNY	GFNY	NA	NA	0.8371153	0.82497895	0.8533534	0.7695919	0.86146625	0.754985	0.89994165	0.7796394	0.4367842	0.49771515	0.4013406	0.5560372	0.53683745	0.3520125	0.54156205	0.3301781	8.728621	4.077629	4.650992	0.8837389	3.0788351	0.708228	4.02592	0.031899	8.096347	4.176541	3.919806	0.8006563	3.1497477	0.761504	3.056199	0.32824	33635	19152	14483	6376	9732	3848	11378	2301	80410	48394	32016	18106	25212	9764.8	24788.2	2539	40813	24437	16376	7516	15161.67	4592.33	12496	1047	588.9061	361.2132	227.6929	176.7675	156.4123	44.428	189.023	22.2753	687.1	415.6063	271.4937	191.3115	188.7973	56.7662	222.9631	27.2619	B6-34	11.93	NA	NA	NA	NA	14.28	1.2	12.88	0	11.99	19.76	22.68	1.11	21.66	0.28	19.04	24.41	23.98	0.81	22.25	0.35	19.91	24.15	186	87	13	19.8	99	0.00246	340	1.51	67	0.54	26	0.46	0.19
B6-35	Batch2_15	Batch2_GFNY	15	GFNY	GFNY	NA	NA	0.8317267	0.8354065	0.8241726	0.8374	0.85895415	0.79645985	0.88768855	0.725054	0.4819814	0.5083568	0.4487338	0.5281899	0.5571614	0.3598123	0.55833985	0.34391115	8.262193	4.268803	3.99339	1.268635	2.377695	1.303446	3.145142	0.167275	11.89344	5.952959	5.940481	0.860931	4.104979	1.678575	4.872635	0.37632	55976.8	35983	19993.8	10664.6	19470.13	8227.4	13038.87	4575.8	72298.73	40748	31550.73	11895.2	20906.73	13368.2	18434.47	7694.13	41598.54	22292	19306.54	6524.933	13254.267	5048.8	14122.27	2648.27	507.6825	300.6924	206.9901	106.7564	149.3601	67.4643	135.4091	48.6926	639.0836	377.573	261.5106	127.5614	190.1128	91.1368	168.2018	62.0708	B6-35	10.91	NA	NA	NA	NA	15.12	1.35	13.54	0.13	12.45	20.26	23.23	1.17	22.34	0.22	19.59	24.86	25.03	0.96	23.99	0.18	20.76	25.48	190	87.5	13	20	102.5	0.00243	326	1.67	23	0.43	72	0.42	0.16
B6-36	Batch2_16	Batch2_GFNY	16	GFNY	GFNY	NA	NA	0.8185993	0.8116538	0.8362734	0.8107561	0.8424319	0.7335813	0.88869035	0.73753255	0.5323849	0.5696742	0.4890722	0.6245596	0.5962692	0.420023	0.5827796	0.37753885	8.120894	3.864104	4.25679	0.3957732	3.0852688	0.900391	3.532595	0.206866	11.7741	5.830742	5.943358	1.0484	4.355446	1.14438	4.714874	511	39422	23160	16262	9223.267	11423.933	4600.8	11571.6	2602.4	64316	33660	30656	11503	18791.93	6952.07	21570.4	5498.6	35682	20384	15298	5910	12946.33	3559.67	11862.13	1403.87	429.5108	248.7013	180.8095	105.2003	119.8091	41.3184	128.6233	34.5597	537.4875	306.1111	231.3764	123.6419	153.2135	53.1939	165.3547	42.0835	B6-36	10.86	NA	NA	NA	NA	13.96	1.26	12.38	0.15	11.2	18.41	21.75	1.05	20.97	0	18.64	24.58	25.69	NA	NA	NA	NA	24.84	187	88	13	19.9	99	0.00253	310	1.61	27	0.59	63	0.34	0.21
B6-37	Batch3_1	Batch3_GFBR	1	GFBR	NA	NA	GFBR	0.80400875	0.78230415	NA	0.8068628	NA	NA	NA	NA	0.45201495	0.4631567	NA	0.4800779	NA	NA	NA	NA	6.269099	2.805914	NA	1.050529	NA	NA	NA	NA	6.537097	2.390421	NA	0.1785284	NA	NA	NA	NA	52805	29939	NA	6762	NA	NA	NA	NA	72658	38724	NA	8581	NA	NA	NA	NA	NA	NA	NA	5936	NA	NA	NA	NA	586.6774	319.1677	NA	80.93095	NA	NA	NA	NA	707.1868	382.7043	NA	94.35698	NA	NA	NA	NA	B6-37	10.7	NA	NA	NA	NA	17.07	1.38	14.22	0.15	12.5	21.67	23.41	1.79	20.64	0.14	17.81	24.3	24.57	1.24	22.28	0.32	19.96	23.04	185	91	13	19.5	94	0.00261	285	1.19	30	0.79	70	0.46	0.13
B6-38	Batch3_3	Batch3_GFBR	3	GFBR	NA	NA	GFBR	0.8095712	0.77415795	NA	0.81128415	NA	NA	NA	NA	0.45396975	0.4599869	NA	0.5115058	NA	NA	NA	NA	6.031603	3.348747	NA	0.852284	NA	NA	NA	NA	9.030842	1.281295	NA	0.9141752	NA	NA	NA	NA	49624	43811	NA	9694	NA	NA	NA	NA	67088	41338	NA	12209.87	NA	NA	NA	NA	48840	29085	NA	10154.27	NA	NA	NA	NA	650.8285	432.9344	NA	139.608	NA	NA	NA	NA	757.0354	495.7937	NA	156.9528	NA	NA	NA	NA	B6-38	11.67	NA	NA	NA	NA	18.56	1.64	16.26	0.06	14.11	20.88	21.4	1.88	18.4	0	15.91	21.98	22.64	1.48	20.49	0.15	18.07	22.5	185	89	13	19.6	96	0.00244	262	1.15	26	0.59	68	0.5	0.22
B6-39	Batch3_5	Batch3_GFBR	5	GFBR	NA	NA	GFBR	0.8330872	0.81128415	NA	0.8319086	NA	NA	NA	NA	0.47419785	0.49331535	NA	0.48084745	NA	NA	NA	NA	7.386576	3.641984	NA	1.0068	NA	NA	NA	NA	9.927818	5.007937	NA	0.9464731	NA	NA	NA	NA	47670	33748	NA	7671	NA	NA	NA	NA	70874	40966	NA	11469.6	NA	NA	NA	NA	51294	28963	NA	7224	NA	NA	NA	NA	680.6514	412.197	NA	109.9616	NA	NA	NA	NA	788.6183	473.5127	NA	126.9197	NA	NA	NA	NA	B6-39	9.37	NA	NA	NA	NA	16.5	1.85	14.58	0	12.99	20.98	21.46	1.52	19.5	0.2	17.28	23.12	22.97	1.14	21.52	0.12	18.64	22.79	188	89	13	19.4	99	0.00233	286	0.95	32	0.82	74	0.41	0.17
B6-40	Batch3_7	Batch3_GFBR	7	GFBR	NA	NA	GFBR	0.8303391	0.838378	NA	0.81875895	NA	NA	NA	NA	0.43792845	0.47697505	NA	0.4798728	NA	NA	NA	NA	7.011226	4.126302	NA	0.9738586	NA	NA	NA	NA	9.852028	5.665672	NA	0.8403642	NA	NA	NA	NA	39046	7664	NA	8174	NA	NA	NA	NA	62752	37928	NA	11500.87	NA	NA	NA	NA	40584.8	26002	NA	7152.267	NA	NA	NA	NA	454.3025	297.775	NA	96.91495	NA	NA	NA	NA	554.799	358.6296	NA	115.5556	NA	NA	NA	NA	B6-40	10.55	NA	NA	NA	NA	18.06	1.87	16.05	0.02	14.66	21.41	22.45	1.64	20.35	0.04	17.67	23.8	23.16	1.36	21.7	0.04	18.75	22.7	187	90.5	13	19.8	96.5	0.00244	304	0.94	32	0.75	74	0.44	0.15
B6-41	Batch3_9	Batch3_GFBR	9	GFBR	NA	NA	GFBR	0.8513914	0.82718215	NA	0.8287216	NA	NA	NA	NA	0.5075769	0.48874855	NA	0.5463475	NA	NA	NA	NA	8.026155	3.504137	NA	0.5404369	NA	NA	NA	NA	11.65015	4.943689	NA	0.7468891	NA	NA	NA	NA	45739	29436	NA	8921	NA	NA	NA	NA	65890	39276	NA	10488	NA	NA	NA	NA	40728	23364	NA	6413.6	NA	NA	NA	NA	490.8967	319.4308	NA	102.2352	NA	NA	NA	NA	611.2596	387.8582	NA	120.3191	NA	NA	NA	NA	B6-41	11.5	NA	NA	NA	NA	18.9	1.65	17.02	0.07	15.87	21.26	23.47	1.39	21.26	0.31	19.24	25.11	24.82	1.3	23.35	0.33	20.39	24.87	190	90	13	19.5	100	0.00249	327	1.28	32	0.74	75	0.48	0.17
B6-42	Batch3_11	Batch3_GFBR	11	GFBR	NA	NA	GFBR	0.8245026	0.82976055	NA	0.75807435	NA	NA	NA	NA	0.4670736	0.505508	NA	0.52442955	NA	NA	NA	NA	5.847428	4.963929	NA	0.4156415	NA	NA	NA	NA	9.838234	6.199649	NA	0.6357422	NA	NA	NA	NA	59526	32007	NA	10926	NA	NA	NA	NA	48652	30281	NA	10674	NA	NA	NA	NA	38656	21254	NA	7416	NA	NA	NA	NA	372.2692	219.9258	NA	85.25628	NA	NA	NA	NA	485.1506	285.7916	NA	106.3377	NA	NA	NA	NA	B6-42	10.73	NA	NA	NA	NA	17.46	1.33	15.89	0.05	14.44	21.88	23.42	1.13	21.81	0.15	19.29	24.83	25.38	1.06	23.73	0.25	20.93	24.6	185.5	87	13	19.5	98.5	0.00254	272	1.37	24	0.76	65	0.51	0.18
B6-43	Batch3_13	Batch3_GFBR	13	GFBR	NA	NA	GFBR	0.8335753	0.84025495	NA	0.7900301	NA	NA	NA	NA	0.5179347	0.4774278	NA	0.5798744	NA	NA	NA	NA	8.691286	4.345397	NA	1.187854	NA	NA	NA	NA	13.4975	5.795052	NA	1.815251	NA	NA	NA	NA	43140	25390	NA	10580	NA	NA	NA	NA	81380	43023	NA	11965.53	NA	NA	NA	NA	37214	19464	NA	6746.8	NA	NA	NA	NA	460.2688	267.6254	NA	98.74275	NA	NA	NA	NA	597.9837	341.698	NA	121.4752	NA	NA	NA	NA	B6-43	9.29	NA	NA	NA	NA	15.65	1.5	13.8	0.3	12.72	21.12	22.72	1.35	20.75	0.07	18.36	24.88	25.1	1.05	23.23	0.25	20.87	24.64	181.5	86	13	19.5	95.5	0.0027	330	1.53	28	0.77	67	0.41	0.2
B6-44	Batch3_15	Batch3_GFBR	15	GFBR	NA	NA	GFBR	0.83370755	0.8112946	NA	0.75083795	NA	NA	NA	NA	0.4910624	0.5272294	NA	0.5012728	NA	NA	NA	NA	9.075705	3.817407	NA	0.8577014	NA	NA	NA	NA	11.81239	6.366325	NA	0.5451653	NA	NA	NA	NA	60726	29536	NA	8482	NA	NA	NA	NA	79394	40784	NA	9976	NA	NA	NA	NA	27238	14078	NA	3594	NA	NA	NA	NA	479.1311	252.79	NA	64.5345	NA	NA	NA	NA	633.4196	331.4548	NA	85.46807	NA	NA	NA	NA	B6-44	9.71	NA	NA	NA	NA	15.92	1.68	14.13	0	13.06	20.79	22.42	1.36	21.02	0.05	18.55	23.41	24	0.88	23.01	0.16	20.23	23.72	186	87	12.5	19.2	99	0.00242	303	1.48	26	0.63	60	0.37	0.19
B6-45	Batch3_2	Batch3_GFNY	2	GFNY	NA	NA	GFNY	0.80783575	0.8446161	NA	0.80063595	NA	NA	NA	NA	0.4312071	0.53975645	NA	0.5142157	NA	NA	NA	NA	7.646895	3.765568	NA	0.9364462	NA	NA	NA	NA	7.424243	5.88685	NA	0.4416476	NA	NA	NA	NA	64907	29102	NA	8390	NA	NA	NA	NA	78154.47	43416	NA	11069	NA	NA	NA	NA	NA	NA	NA	5382	NA	NA	NA	NA	571.8267	330.0005	NA	84.70422	NA	NA	NA	NA	694.8861	399.5094	NA	103.2297	NA	NA	NA	NA	B6-45	10.43	NA	NA	NA	NA	17.96	1.7	15.91	0.03	14.61	22.74	23.42	1.57	21.57	0	18.93	24.91	25.63	1.44	23.57	0.38	20.74	24.07	189	88	13	19.7	101	0.00236	313	1.22	28	0.41	73	0.83	0.2
B6-46	Batch3_4	Batch3_GFNY	4	GFNY	NA	NA	GFNY	0.838378	0.786261	NA	0.84636155	NA	NA	NA	NA	0.4602795	0.47913685	NA	0.4860108	NA	NA	NA	NA	9.134021	3.052964	NA	0.6977156	NA	NA	NA	NA	12.00229	4.058545	NA	1.007895	NA	NA	NA	NA	15068	34176	NA	323	NA	NA	NA	NA	52584	29163	NA	7270	NA	NA	NA	NA	62453	32930	NA	8314	NA	NA	NA	NA	509.597	253.6313	NA	52.39818	NA	NA	NA	NA	583.6024	295.0208	NA	62.47758	NA	NA	NA	NA	B6-46	9.88	NA	NA	NA	NA	16.73	1.34	15.26	0.08	14	21.55	21.45	1.22	19.85	0.12	17.57	22.86	23	0.84	21.91	0.1	19.14	22.91	186	90	13	19.3	96	0.24859	271	1.01	28	0.78	64	0.37	0.19
B6-47	Batch3_6	Batch3_GFNY	6	GFNY	NA	NA	GFNY	0.8428674	0.80091195	NA	0.75546645	NA	NA	NA	NA	0.47383185	0.48279885	NA	0.47652095	NA	NA	NA	NA	9.296338	2.65005	NA	0.8726805	NA	NA	NA	NA	12.32145	5.145556	NA	0.3087784	NA	NA	NA	NA	55017	35406	NA	8304	NA	NA	NA	NA	67822	39078	NA	9704.4	NA	NA	NA	NA	34735	18779	NA	3966.6	NA	NA	NA	NA	404.4998	245.5665	NA	57.69014	NA	NA	NA	NA	525.7242	313.9378	NA	74.20989	NA	NA	NA	NA	B6-47	11.08	NA	NA	NA	NA	18.08	1.72	16.16	0.3	14.79	21.55	23.19	1.06	21.87	0.15	19.45	24.79	25.86	1.38	24.13	0.21	21.41	25.82	188	91.5	13.5	19.5	96.5	0.00277	261	1.31	33	0.84	63	0.46	0.18
B6-48	Batch3_8	Batch3_GFNY	8	GFNY	NA	NA	GFNY	0.8276646	0.8329415	NA	0.7432296	NA	NA	NA	NA	0.49895955	0.51576025	NA	0.52610585	NA	NA	NA	NA	8.234865	3.235453	NA	0.6038797	NA	NA	NA	NA	12.7801	6.590533	NA	0.8320614	NA	NA	NA	NA	48108	31928	NA	7081	NA	NA	NA	NA	68184.13	39368	NA	9421.733	NA	NA	NA	NA	43446	24994	NA	5517.533	NA	NA	NA	NA	619.8751	368.5806	NA	94.35242	NA	NA	NA	NA	730.6185	432.7639	NA	109.0081	NA	NA	NA	NA	B6-48	11.59	NA	NA	NA	NA	19.32	1.82	17.27	0.06	15.57	23.32	24.9	1.45	22.94	0.06	19.98	26.75	26.62	1.48	24.53	0.19	21.48	25.99	190.5	91	13	19.7	99.5	0.00263	275	1.4	28	0.77	70	0.44	0.26
B6-49	Batch3_10	Batch3_GFNY	10	GFNY	NA	NA	GFNY	0.81666795	0.825409	NA	0.7479504	NA	NA	NA	NA	0.44240415	0.5417237	NA	0.5020149	NA	NA	NA	NA	6.862398	4.932865	NA	0.7039202	NA	NA	NA	NA	8.346971	7.244626	NA	0.2460019	NA	NA	NA	NA	56487	26130	NA	11486.87	NA	NA	NA	NA	71716	40242	NA	11429.73	NA	NA	NA	NA	37760	20494	NA	5929	NA	NA	NA	NA	648.022	337.6133	NA	93.77641	NA	NA	NA	NA	774.6121	410.8496	NA	115.8516	NA	NA	NA	NA	B6-49	10.17	NA	NA	NA	NA	17.18	1.84	15.15	0.12	13.85	21.87	23.09	1.78	21.01	0.23	18.5	24.41	24.69	2	22.39	0.4	20.04	24.46	191.5	94	13	19.8	97.5	0.00257	347	1.3	27	0.69	67	0.47	0.22
B6-50	Batch3_12	Batch3_GFNY	12	GFNY	NA	NA	GFNY	0.838151	0.83992195	NA	0.83990855	NA	NA	NA	NA	0.4926203	0.6121586	NA	0.542325	NA	NA	NA	NA	8.265097	6.034396	NA	1.328603	NA	NA	NA	NA	13.13438	6.805115	NA	1.408838	NA	NA	NA	NA	57541.6	37332	NA	10639	NA	NA	NA	NA	81011.47	43096.07	NA	11796.13	NA	NA	NA	NA	53636	31052	NA	8946.467	NA	NA	NA	NA	783.599	447.0542	NA	153.1314	NA	NA	NA	NA	912.0726	514.1695	NA	170.5004	NA	NA	NA	NA	B6-50	10.49	NA	NA	NA	NA	17.75	1.71	15.81	0.25	14.19	22.42	23.18	1.72	21.14	0	18.67	23.95	24.4	1.84	22.34	0	19.47	24.25	190.5	90	13	19.8	100.5	0.0024	342	1.36	23	0.67	71	0.4	0.25
B6-51	Batch3_14	Batch3_GFNY	14	GFNY	NA	NA	GFNY	0.8407934	0.8241027	NA	0.7937517	NA	NA	NA	NA	0.59473385	0.5024034	NA	0.6325871	NA	NA	NA	NA	11.37975	4.487918	NA	1.024606	NA	NA	NA	NA	14.07155	6.145217	NA	1.177248	NA	NA	NA	NA	63162	30438	NA	10903.27	NA	NA	NA	NA	95276.2	54179	NA	15065.87	NA	NA	NA	NA	46995	24534	NA	5913	NA	NA	NA	NA	564.8385	348.2868	NA	117.843	NA	NA	NA	NA	720.5189	434.0569	NA	141.674	NA	NA	NA	NA	B6-51	10.19	NA	NA	NA	NA	17.79	1.53	16.05	0	14.63	22.53	24.4	1.16	23.05	0.13	20.37	27.07	27.1	1.09	26.46	0.21	23.67	26.94	191	89.5	13	19.6	101.5	0.00261	328	1.79	28	0.7	67	0.43	0.22
B6-52	Batch3_16	Batch3_GFNY	16	GFNY	NA	NA	GFNY	0.8225422	0.80019125	NA	0.76304925	NA	NA	NA	NA	0.56197815	0.5905179	NA	0.59787065	NA	NA	NA	NA	9.267823	4.666059	NA	1.248748	NA	NA	NA	NA	12.80616	6.664099	NA	1.129727	NA	NA	NA	NA	43694	29078	NA	9254	NA	NA	NA	NA	76927.73	45379	NA	12916	NA	NA	NA	NA	46290	26930	NA	8039.8	NA	NA	NA	NA	549.5707	351.648	NA	109.9238	NA	NA	NA	NA	681.79	428.3014	NA	131.1521	NA	NA	NA	NA	B6-52	10.55	NA	NA	NA	NA	16.74	1.33	15.16	0.05	14.05	21.02	23.48	0.94	22.06	0.01	19.73	26.4	25.79	0.91	24.84	0.1	21.84	24.67	187	88	13.5	19.6	99	0.00252	378	1.79	27	0.6	63	0.36	0.16
